src,tgt
CC(NC(=O)C(CC[NH3+])NC(=O)C(NC(=O)C(CC[NH+]=Cc1ccc(O)c(OC)c1)NC(=O)CCCCC(C)CC)C(C)O)C(=O)NC(CCN=Cc1ccc(O)c(OC)c1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(CCN=Cc1ccc(O)c(OC)c1)C(=O)NC(CCN=Cc1ccc(O)c(OC)c1)C(=O)NCC(C)O,*CC(NC(=O)C(CC[NH3+])NC(=O)C(NC(=O)C(CC[NH+]=Cc1ccc(O)c(OC)c1)NC(=O)CCCCC(C)CC)C(C)O)C(=O)NC(CCN=Cc1ccc(O)c(OC)c1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(CCN=Cc1ccc(O)c(OC)c1)C(=O)NC(CCN=Cc1ccc(O)c(OC)c1)C(=O)NC(*)C(C)O
C(=O)C(NC(=O)C(CCN=Cc1ccc(O)c(OC)c1)NC(=O)C(CCN=Cc1ccc(O)c(OC)c1)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)C(CCN=Cc1ccc(O)c(OC)c1)NC(=O)CNC(=O)C(CC[NH3+])NC(=O)C(NC(=O)C(CC[NH+]=Cc1ccc(O)c(OC)c1)NC(=O)CCCCC(C)CC)C(C)O)C(C)O,*C(=O)C(NC(=O)C(CCN=Cc1ccc(O)c(OC)c1)NC(=O)C(CCN=Cc1ccc(O)c(OC)c1)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)C(CCN=Cc1ccc(O)c(OC)c1)NC(=O)C(*)NC(=O)C(CC[NH3+])NC(=O)C(NC(=O)C(CC[NH+]=Cc1ccc(O)c(OC)c1)NC(=O)CCCCC(C)CC)C(C)O)C(C)O
CCC(=O)CCC(=O)OCC1OC(OC2C(OC(C)CCCCC)OC(C)C(O)C2O)C(O)C(OC(=O)C(C)=CC)C1OC(=O)C=Cc1ccccc1,*CCC(=O)CCC(=O)OCC1OC(OC2C(OC(C*)CCCCC)OC(C)C(O)C2O)C(O)C(OC(=O)C(C)=CC)C1OC(=O)C=Cc1ccccc1
CCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(COC(=O)CCC=O)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O,*CCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(COC(=O)CCC(*)=O)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O
CCCC(=O)CCC(=O)OCC1OC(OC2C(OCCCCCC)OC(C)C(O)C2O)C(O)C(OC(=O)C(C)=CC)C1OC(=O)C=Cc1ccccc1,*CCCC(=O)CCC(=O)OCC1OC(OC2C(OC(*)CCCCC)OC(C)C(O)C2O)C(O)C(OC(=O)C(C)=CC)C1OC(=O)C=Cc1ccccc1
CC(=O)CCCCCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(C)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O,*CC(=O)CCCCCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(C*)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O
CCCCCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(COC=O)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O,*CCCCCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(COC(*)=O)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O
OCC1OC(OC2C(OC(CCCCC)CCCCCCC=O)OC(C)C(O)C2O)C(O)C(OC(=O)C(C)=CC)C1OC(=O)C=Cc1ccccc1,*OCC1OC(OC2C(OC(CCCCC)CCCCCCC(*)=O)OC(C)C(O)C2O)C(O)C(OC(=O)C(C)=CC)C1OC(=O)C=Cc1ccccc1
CCCCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(COC(=O)C)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O,*CCCCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(COC(=O)C*)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O
CCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(COC(=O)CCC(=O)C)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O,*CCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(COC(=O)CCC(=O)C*)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O
CCC(=O)CCCCCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OCC(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O,*CCC(=O)CCCCCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(*)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O
CCCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(COC(=O)CC)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O,*CCCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(COC(=O)CC*)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O
C(=O)NC(C(=O)NC(Cc1ccc(OC2OC(CO)C(OC3OC(COCc4ccc(C)cc4)C(O)C(O)C3O)C(O)C2O)cc1)C(=O)NC(C(=O)NC(C(=O)NCCO)C(O)C1C[NH+]=C(N)N1C1OC(CO)C(O)C(O)C1O)C(O)C1C[NH+]=C(N)N1)C(C)c1ccccc1,*C(=O)NC(C(=O)NC(Cc1ccc(OC2OC(CO)C(OC3OC(COCc4ccc(C)cc4)C(O)C(O)C3O)C(O)C2O)cc1)C(=O)NC(C(=O)NC(C(=O)NC(*)CO)C(O)C1C[NH+]=C(N)N1C1OC(CO)C(O)C(O)C1O)C(O)C1C[NH+]=C(N)N1)C(C)c1ccccc1
NC(C(=O)NC(Cc1ccc(OC2OC(CO)C(OC3OC(COCc4ccc(C)cc4)C(O)C(O)C3O)C(O)C2O)cc1)C(=O)NC(C(=O)NC(C(=O)NC(CO)C=O)C(O)C1C[NH+]=C(N)N1C1OC(CO)C(O)C(O)C1O)C(O)C1C[NH+]=C(N)N1)C(C)c1ccccc1,*NC(C(=O)NC(Cc1ccc(OC2OC(CO)C(OC3OC(COCc4ccc(C)cc4)C(O)C(O)C3O)C(O)C2O)cc1)C(=O)NC(C(=O)NC(C(=O)NC(CO)C(*)=O)C(O)C1C[NH+]=C(N)N1C1OC(CO)C(O)C(O)C1O)C(O)C1C[NH+]=C(N)N1)C(C)c1ccccc1
NC(=O)C(CO)NC(=O)C(NC(=O)C(NC(=O)C(Cc1ccc(OC2OC(CO)C(OC3OC(COCc4ccc(C)cc4)C(O)C(O)C3O)C(O)C2O)cc1)NC(=O)CC(C)c1ccccc1)C(O)C1C[NH+]=C(N)N1)C(O)C1C[NH+]=C(N)N1C1OC(CO)C(O)C(O)C1O,*NC(=O)C(CO)NC(=O)C(NC(=O)C(NC(=O)C(Cc1ccc(OC2OC(CO)C(OC3OC(COCc4ccc(C)cc4)C(O)C(O)C3O)C(O)C2O)cc1)NC(=O)C(*)C(C)c1ccccc1)C(O)C1C[NH+]=C(N)N1)C(O)C1C[NH+]=C(N)N1C1OC(CO)C(O)C(O)C1O
C([NH3+])CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NCCc1ccccc1,*C([NH3+])CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(*)Cc1ccccc1
NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(CNC=O)Cc1ccccc1,*NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(CNC(*)=O)Cc1ccccc1
C([NH3+])C(=O)NCC(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)CCc1c[nH]c2ccccc12,*C([NH3+])C(=O)NCC(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(*)Cc1c[nH]c2ccccc12
CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(C)Cc1ccccc1,*CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(C*)Cc1ccccc1
NCC(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1c[nH]c2ccccc12)NC=O,*NCC(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1c[nH]c2ccccc12)NC(*)=O
CC1CCCC(CC2CCOC(C=CC(C)(C)C3(O)OC(CC(O)C(O)CC)CC(=CC(=O)OC)C3OC(=O)CCCCCCC)O2)O1,*CC1CCCC(CC2CCOC(C=CC(C)(C)C3(O)OC(CC(O*)C(O)CC)CC(=CC(=O)OC)C3OC(=O)CCCCCCC)O2)O1
C(=O)OC(CC1CC(=CC(=O)OC)C(OC(=O)CCCCCCC)C(O)(C(C)(C)C=CC2OCCC(CC3CCCCO3)O2)O1)C(O)CC,*C(=O)OC(CC1CC(=CC(=O)OC)C(OC(=O)CCCCCCC)C(O)(C(C)(C)C=CC2OCCC(CC3CCCC(*)O3)O2)O1)C(O)CC
C(O)CC1CCCC(CC2CCOC(C=CC(C)(C)C3(O)OC(CCC(O)CC)CC(=CC(=O)OC)C3OC(=O)CCCCCCC)O2)O1,*C(O)CC1CCCC(CC2CCOC(C=CC(C)(C)C3(O)OC(CC(*)C(O)CC)CC(=CC(=O)OC)C3OC(=O)CCCCCCC)O2)O1
C1OCCC(CC2CCCC(CC(O)CC(=O)OC(CC3CC(=CC(=O)OC)C(OC(=O)CCCCCCC)C(O)O3)C(O)CC)O2)O1,*C1OCCC(CC2CCCC(CC(O)CC(=O)OC(CC3CC(=CC(=O)OC)C(OC(=O)CCCCCCC)C(*)(O)O3)C(O)CC)O2)O1
CCCOC(CN(C)S(=O)(=O)c1ccc(F)cc1)C(C)CN(C(=O)c1cccnc1)C(C)C[NH+](C)C,*CCCOC(CN(C)S(=O)(=O)c1ccc(F)cc1)C(C)CN(C(=O)c1cccnc1*)C(C)C[NH+](C)C
CCC(C)Oc1ncccc1C(=O)N(CC(C)CCN(C)S(=O)(=O)c1ccc(F)cc1)C(C)C[NH+](C)C,*CCC(C)Oc1ncccc1C(=O)N(CC(C)C(*)CN(C)S(=O)(=O)c1ccc(F)cc1)C(C)C[NH+](C)C
CC(C)Oc1ncccc1C(=O)N(CC(C)C(CN(C)S(=O)(=O)c1ccc(F)cc1)O)C(C)C[NH+](C)C,*CC(C)Oc1ncccc1C(=O)N(CC(C)C(CN(C)S(=O)(=O)c1ccc(F)cc1)O*)C(C)C[NH+](C)C
CCOC(CN(C)S(=O)(=O)c1ccc(F)cc1)C(C)CN(C(=O)c1cccnc1O)C(C)C[NH+](C)C,*CCOC(CN(C)S(=O)(=O)c1ccc(F)cc1)C(C)CN(C(=O)c1cccnc1O*)C(C)C[NH+](C)C
COC(CN(C)S(=O)(=O)c1ccc(F)cc1)C(C)CN(C(=O)c1cccnc1OCC)C(C)C[NH+](C)C,*COC(CN(C)S(=O)(=O)c1ccc(F)cc1)C(C)CN(C(=O)c1cccnc1OC(*)C)C(C)C[NH+](C)C
C=Cc1ccccc1OCCNC(C)(C)C(=O)NC(C)(C)C(=O)NCCc1cccc(Cl)c1,*C=Cc1ccccc1OCCNC(C)(C)C(=O)NC(C)(C)C(=O)NC(*)Cc1cccc(Cl)c1
COc1ccccc1C=CCNC(=O)C(Cc1cccc(Cl)c1)NC(=O)C(C)(C)NC=O,*COc1ccccc1C=CCNC(=O)C(Cc1cccc(Cl)c1)NC(=O)C(C)(C)NC(*)=O
Oc1ccccc1C=CCNC(=O)C(Cc1cccc(Cl)c1)NC(=O)C(C)(C)NC(=O)C(C)C,*Oc1ccccc1C=CCNC(=O)C(Cc1cccc(Cl)c1)NC(=O)C(C)(C)NC(=O)C(*)(C)C
NC(C)(C)C(=O)NC(C)(C)C(=O)NC(Cc1cccc(Cl)c1)C(=O)NCC=Cc1ccccc1,*NC(C)(C)C(=O)NC(C)(C)C(=O)NC(Cc1cccc(Cl)c1)C(=O)NCC=Cc1ccccc1*
NC(=O)C(Cc1cccc(Cl)c1)NC(=O)C(C)(C)NC(=O)C(C)(C)NCCOc1ccccc1,*NC(=O)C(Cc1cccc(Cl)c1)NC(=O)C(C)(C)NC(=O)C(C)(C)NCCOc1ccccc1*
CCC1(CC(=O)NC(C)c2nc(C=CC=CC=O)cs2)SSC(=O)C1(C)O,*CCC1(CC(=O)NC(C)c2nc(C=CC=CC(*)=O)cs2)SSC(=O)C1(C)O
C=CC=CC(=O)C(O)C=C(C)CCC1(CC(=O)NCC)SSC(=O)C1(C)O,*C=CC=CC(=O)C(O)C=C(C)CCC1(CC(=O)NC(*)C)SSC(=O)C1(C)O
C(C)c1nc(C=CC=CC(=O)C(O)C=C(C)CCC2SSC(=O)C2(C)O)cs1,*C(C)c1nc(C=CC=CC(=O)C(O)C=C(C)CCC2(*)SSC(=O)C2(C)O)cs1
C=Cc1csc(C(C)NC(=O)CC2(CCC(C)=CCO)SSC(=O)C2(C)O)n1,*C=Cc1csc(C(C)NC(=O)CC2(CCC(C)=CC(*)O)SSC(=O)C2(C)O)n1
CC1(CCC(C)=CC(O)C(=O)C=CC=Cc2cscn2)SSC(=O)C1(C)O,*CC1(CCC(C)=CC(O)C(=O)C=CC=Cc2csc(*)n2)SSC(=O)C1(C)O
CC1(CC(=O)NC(C)c2nc(C=CC=CC(=O)CO)cs2)SSC(=O)C1(C)O,*CC1(CC(=O)NC(C)c2nc(C=CC=CC(=O)C(*)O)cs2)SSC(=O)C1(C)O
CCCOC(CN(C)C(=O)Nc1cccc2ccccc12)C(C)CN(C(=O)c1cc(NC(=O)c2ccncc2)ccc1)C(C)CO,*CCCOC(CN(C)C(=O)Nc1cccc2ccccc12)C(C)CN(C(=O)c1cc(NC(=O)c2ccncc2)ccc1*)C(C)CO
CC(C)Oc1ccc(NC(=O)c2ccncc2)cc1C(=O)N(CC(C)C(CN(C)C(=O)Nc1cccc2ccccc12)O)C(C)CO,*CC(C)Oc1ccc(NC(=O)c2ccncc2)cc1C(=O)N(CC(C)C(CN(C)C(=O)Nc1cccc2ccccc12)O*)C(C)CO
CCOC(CN(C)C(=O)Nc1cccc2ccccc12)C(C)CN(C(=O)c1cc(NC(=O)c2ccncc2)ccc1O)C(C)CO,*CCOC(CN(C)C(=O)Nc1cccc2ccccc12)C(C)CN(C(=O)c1cc(NC(=O)c2ccncc2)ccc1O*)C(C)CO
COC(CN(C)C(=O)Nc1cccc2ccccc12)C(C)CN(C(=O)c1cc(NC(=O)c2ccncc2)ccc1OCC)C(C)CO,*COC(CN(C)C(=O)Nc1cccc2ccccc12)C(C)CN(C(=O)c1cc(NC(=O)c2ccncc2)ccc1OC(*)C)C(C)CO
CCC(C)Oc1ccc(NC(=O)c2ccncc2)cc1C(=O)N(CC(C)CCN(C)C(=O)Nc1cccc2ccccc12)C(C)CO,*CCC(C)Oc1ccc(NC(=O)c2ccncc2)cc1C(=O)N(CC(C)C(*)CN(C)C(=O)Nc1cccc2ccccc12)C(C)CO
CNC(=O)CC(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)[O-])NC(=O)C(CCCC[NH3+])NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)[O-])NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)[O-])NC(=O)C(C)NC(=O)C([NH3+])Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(C)C)C(C)CC)C(C)C)C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O,*CNC(=O)CC(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(*)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)[O-])NC(=O)C(CCCC[NH3+])NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)[O-])NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)[O-])NC(=O)C(C)NC(=O)C([NH3+])Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(C)C)C(C)CC)C(C)C)C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O
CC(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)[O-])NC(=O)C(CCCC[NH3+])NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)[O-])NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)[O-])NC(=O)C(C)NC(=O)C([NH3+])Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(C)C)C(C)CC)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC(=O)N)C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O)C(C)C,*CC(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)[O-])NC(=O)C(CCCC[NH3+])NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)[O-])NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)[O-])NC(=O)C(C)NC(=O)C([NH3+])Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(C)C)C(C)CC)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC(=O)N*)C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O)C(C)C
CCCC(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)[O-])NC(=O)C(CCCC[NH3+])NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)[O-])NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)[O-])NC(=O)C(C)NC(=O)C([NH3+])Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(C)C)C(C)CC)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(C)C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O)C(C)C,*CCCC(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)[O-])NC(=O)C(CCCC[NH3+])NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)[O-])NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)[O-])NC(=O)C(C)NC(=O)C([NH3+])Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(C)C)C(C)CC)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(C*)C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O)C(C)C
CCC(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)[O-])NC(=O)C(CCCC[NH3+])NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)[O-])NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)[O-])NC(=O)C(C)NC(=O)C([NH3+])Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(C)C)C(C)CC)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC=O)C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O)C(C)C,*CCC(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)[O-])NC(=O)C(CCCC[NH3+])NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)[O-])NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)[O-])NC(=O)C(C)NC(=O)C([NH3+])Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(C)C)C(C)CC)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC(*)=O)C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O)C(C)C
CCCCC(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)[O-])NC(=O)C(CCCC[NH3+])NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)[O-])NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)[O-])NC(=O)C(C)NC(=O)C([NH3+])Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(C)C)C(C)CC)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NCC(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O)C(C)C,*CCCCC(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)[O-])NC(=O)C(CCCC[NH3+])NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)[O-])NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)[O-])NC(=O)C(C)NC(=O)C([NH3+])Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(C)C)C(C)CC)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(*)C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O)C(C)C
CCCC(NC(=O)NC(C(=O)[O-])C(C)CC)C(=O)NC(C(=O)NCCCc1ccc(O)cc1)C(C)C,*CCCC(NC(=O)NC(C(=O)[O-])C(C)CC)C(=O)NC(C(=O)NC(*)CCc1ccc(O)cc1)C(C)C
