src,tgt
CC=CC(NC(=O)C(Cc1ccc(-c2ccccc2)cc1)NC(=O)CCCCCCCCC)C=O,*CC=CC(NC(=O)C(Cc1ccc(-c2ccccc2)cc1)NC(=O)CCCCCCCCC)C(*)=O
C(C)C(OC(C)=O)C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)Nc1c(C=NN2CC[NH+](Cc3cccc4ccccc34)CC2)c(O)c2c3c(c(C)c([O-])c2c1O)OC(C)C3=O,*C(C)C(OC(C)=O)C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)Nc1c(C=NN2CC[NH+](Cc3cccc4ccccc34)CC2)c(O)c2c3c(c(C)c([O-])c2c1O)OC(*)(C)C3=O
C(C(=O)NO)C(CC(C)C)C(=O)NC(CCCCNC)C(=O)NCC(=O)N1CC[NH+](C)CC1,*C(C(=O)NO)C(CC(C)C)C(=O)NC(CCCCN(*)C)C(=O)NCC(=O)N1CC[NH+](C)CC1
C(C)C1N(NCC=Cc2ccc(NC(C)=O)cc2)C(=O)OC1(C)C(CC)OC(=O)C(C)=CC(C)C(OC1OC(C)CC([NH+](C)C)C1O)C(C)OC,*C(C)C1N(NCC=Cc2ccc(NC(C)=O)cc2)C(=O)OC1(C)C(CC)OC(=O)C(C)=CC(C)C(OC1OC(C)CC([NH+](C)C)C1O)C(*)(C)OC
CCC(NC(C)=O)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1ccccc1)C(=O)N(CCCC[NH+]=C(N)N)C(CC)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,*CCC(NC(C)=O)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1ccccc1)C(=O)N(CCCC[NH+]=C(N)N)C(CC*)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O
Nc1ccccc1NC(=O)CCSS,*Nc1ccccc1NC(=O)CCSS*
CCC(=O)NC(C(=O)NCC(=O)NCC(=O)NC(CCC[NH+]=C(N)N)C(=O)NC(C(=O)NC(CC(=O)[O-])C(=O)NC(CCC[NH+]=C(N)N)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)NC(CCC[NH+]=C(N)N)C=O)C(C)CC)C(C)CC)C1CCCCC1,*CCC(=O)NC(C(=O)NCC(=O)NCC(=O)NC(CCC[NH+]=C(N)N)C(=O)NC(C(=O)NC(CC(=O)[O-])C(=O)NC(CCC[NH+]=C(N)N)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)NC(CCC[NH+]=C(N)N)C(*)=O)C(C)CC)C(C)CC)C1CCCCC1
CCC(=O)OC(C)CC(C)=CC#CC(=O)OCC=C(C)C=CC=CCO,*CCC(=O)OC(C)CC(C)=CC#CC(=O)OC(*)C=C(C)C=CC=CCO
CC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC=O)C(C)CC)C(=O)N1CCCC1C(=O)NC(CCC(=O)[O-])C(=O)NCC(N)=O,*CC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(*)=O)C(C)CC)C(=O)N1CCCC1C(=O)NC(CCC(=O)[O-])C(=O)NCC(N)=O
CCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(C)C(OC2OC(C)C(OC3OC(C)C(OC(=O)C(C)CC)C(O)C3OC3OC(CO)C(O)C(O)C3O)C(O)C2OC(=O)CCCCCCCCCCC)C(O)C1OC(=O)C,*CCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(C)C(OC2OC(C)C(OC3OC(C)C(OC(=O)C(C)CC)C(O)C3OC3OC(CO)C(O)C(O)C3O)C(O)C2OC(=O)CCCCCCCCCCC)C(O)C1OC(=O)C*
NC(=O)C(Cc1ccc(Br)cc1)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1Cn2cc([n+](C3OC(CO)C(O)C(O)C3O)c2)CC(NC=O)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(Cc2ccccc2)C(=O)NC(C(O)C=C(C)C=Cc2ccc(Br)cc2)CC(=O)NC(CO)C(=O)N1)C(O)C(N)=O,*NC(=O)C(Cc1ccc(Br)cc1)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1Cn2cc([n+](C3OC(CO)C(O)C(O)C3O)c2)CC(NC(*)=O)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(Cc2ccccc2)C(=O)NC(C(O)C=C(C)C=Cc2ccc(Br)cc2)CC(=O)NC(CO)C(=O)N1)C(O)C(N)=O
NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C1CC(NC(=O)CCC(=O)[O-])CN1C(=O)c1ccccc1,*NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C1CC(NC(=O)C(*)CC(=O)[O-])CN1C(=O)c1ccccc1
C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(N)=O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NCCC(N)=O,*C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(N)=O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(*)CC(N)=O
OC(C(C)CCCCCCCCCCCCCC)C(C)C(=O)NC(=C)C=CC(=O)NC,*OC(C(C)CCCCCCCCCCCCCC)C(C)C(=O)NC(=C)C=CC(=O)N(*)C
CCCC(=O)OC1C(OC2C(OCCCCCC)OC(C)C(O)C2OC(C)=O)OC(C)C(OC2OC(C)C(OC3OC(C)C(OC(=O)C(C)CC)C(O)C3O)C(OC3OC(CO)C(O)C(O)C3O)C2OC(=O)C(C)CC)C1O,*CCCC(=O)OC1C(OC2C(OC(*)CCCCC)OC(C)C(O)C2OC(C)=O)OC(C)C(OC2OC(C)C(OC3OC(C)C(OC(=O)C(C)CC)C(O)C3O)C(OC3OC(CO)C(O)C(O)C3O)C2OC(=O)C(C)CC)C1O
CCOC1CC(C(=O)NC(CCC)C(=O)C(=O)NCC(=O)NC(C(=O)N(C)C)c2ccccc2)N(C(=O)CC2CCCCC2)C1,*CCOC1CC(C(=O)NC(CCC)C(=O)C(=O)NCC(=O)NC(C(=O)N(C)C)c2ccccc2)N(C(=O)C(*)C2CCCCC2)C1
C=CC(OC)C(OC(N)=O)C(C)=CC(C)C(OC)C(CC(C)C(OC)c1cc(O)cc(N)c1O)OC,*C=CC(OC)C(OC(N)=O)C(C)=CC(C)C(OC)C(CC(C)C(OC)c1cc(O)cc(N*)c1O)OC
C(C)(O)C(CC)OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC1OC(C)CC([NH+](C)C)C1O)C(C)O,*C(C)(O)C(CC)OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC1OC(C)CC([NH+](C)C)C1O)C(*)(C)O
c1cccc(CC(=O)NC(C(=O)N2CCCC2C(=O)NC(CCC)C(=O)C(=O)NCC(=O)OCc2ccccc2)C2CCCCC2)c1,*c1cccc(CC(=O)NC(C(=O)N2CC(*)CC2C(=O)NC(CCC)C(=O)C(=O)NCC(=O)OCc2ccccc2)C2CCCCC2)c1
CCCNc1cc[n+](CCCCC[n+]2cccc3cc(C(F)(F)F)ccc32)c2ccc(C(F)(F)F)cc12,*CCCNc1cc[n+](CCCCC[n+]2ccc(*)c3cc(C(F)(F)F)ccc32)c2ccc(C(F)(F)F)cc12
CCC(=O)OC1C(O)C(COC2OC(C)C(O)C(OC(=O)C(C)=CC)C2OC2OC(C)C(O)C(O)C2O)OC(OC2COC(C)C(O)C2O)C1OC1OC(C)C(O)C(O)C1OC(=O)C(C)=CC,*CCC(=O)OC1C(O)C(COC2OC(C)C(O)C(OC(=O)C(C)=CC)C2OC2OC(C)C(O)C(O)C2O)OC(OC2C(*)OC(C)C(O)C2O)C1OC1OC(C)C(O)C(O)C1OC(=O)C(C)=CC
NC(=O)C([NH3+])CCCn1cc(-c2ccc(CN3CC[NH+](C)CC3)cc2)c2c[nH+]cnc21,*NC(=O)C([NH3+])CCCn1cc(-c2ccc(CN3CC[NH+](C)CC3)cc2)c2c[nH+]c(*)nc21
C=CCCCCCCN(CC(=O)NC(CCC(=O)[O-])C(=O)N1CCCC1C(=O)NC(C(=O)NC(C)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)NCCCC(=O)[O-])C(C)O)C(=O)CCCCNC(=S)Nc1ccc2c(c1)C1(OC2=O)c2ccc(O)cc2Oc2cc(O)ccc21,*C=CCCCCCCN(CC(=O)NC(CCC(=O)[O-])C(=O)N1CCCC1C(=O)NC(C(=O)NC(C)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)NC(*)CCC(=O)[O-])C(C)O)C(=O)CCCCNC(=S)Nc1ccc2c(c1)C1(OC2=O)c2ccc(O)cc2Oc2cc(O)ccc21
CC(=O)C(CCCCCC(CCC)OC1OC(C)C(OC(C)=O)C(O)C1OC1OCC(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O)OC(C)=O,*CC(=O)C(CCCCCC(CCC)OC1OC(C)C(OC(C)=O)C(O)C1OC1OC(*)C(OC(=O)C=Cc2ccccc2)C(OC(=O)C(C)=CC)C1O)OC(C)=O
C(C)OC(=O)c1c(O)cc(NCCN2CC[NH+](C)CC2)cc1C=CCC(O)CO,*C(C)OC(=O)c1c(O)cc(NCCN2CC[NH+](C)CC2)cc1C=CCC(O)C(*)O
c1cccc(-c2cc(N3CCCC3)nc(Nc3cccc(C[NH+]C)c3)n2)c1,*c1cccc(-c2cc(N3CCCC3)nc(Nc3cccc(C[NH+](*)C)c3)n2)c1
Cc1ccc(Oc2cc(C)ccc2OCc2ccccc2)cc1,*Cc1ccc(Oc2cc(C*)ccc2OCc2ccccc2)cc1
NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)NCC(=O)N1CCCC1C)C(C)CC,*NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(*)C(=O)N1CCCC1C)C(C)CC
CC(C)OC(=O)CC(NC(=O)C(Cc1c(Br)[nH]c2ccccc12)N(C)C(=O)C(CO)N)c1ccc(O)cc1,*CC(C)OC(=O)CC(NC(=O)C(Cc1c(Br)[nH]c2ccccc12)N(C)C(=O)C(CO)N*)c1ccc(O)cc1
c1nc(C=CC=CC(=O)C(C=C(C)CCC2S(=O)SC(=O)C2(C)O)OC(=O)COCCOC)cs1,*c1nc(C=CC=CC(=O)C(C=C(C)CCC2(*)S(=O)SC(=O)C2(C)O)OC(=O)COCCOC)cs1
CCC(=O)NCCCC1(C)N=NC(=NCc2ccccc2)S1,*CCC(=O)NCCCC1(C*)N=NC(=NCc2ccccc2)S1
C(=O)C(CCC(=O)[O-])NC(=O)C(CCCCNC(=O)CCCC(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(CO)C(=O)NC(CC(=O)[O-])C(=O)NC(C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)[O-])C(=O)NCC(=O)NC(CCC(N)=O)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CCCC[NH3+])C(=O)NC(CCC(=O)[O-])C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CCCC[NH3+])C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O)C(C)C)C(C)CC)C(C)C)C(C)O)NC(=O)C([NH3+])Cc1cnc[nH]1,*C(=O)C(CCC(=O)[O-])NC(=O)C(CCCCNC(=O)CCC(*)C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(CO)C(=O)NC(CC(=O)[O-])C(=O)NC(C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)[O-])C(=O)NCC(=O)NC(CCC(N)=O)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CCCC[NH3+])C(=O)NC(CCC(=O)[O-])C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CCCC[NH3+])C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O)C(C)C)C(C)CC)C(C)C)C(C)O)NC(=O)C([NH3+])Cc1cnc[nH]1
COC1CCN(c2cc(Nc3ccccc3)n3ncc(C#N)c3n2)C1CO,*COC1CCN(c2cc(Nc3cccc(*)c3)n3ncc(C#N)c3n2)C1CO
c1cc(CC2c3c(cc(OC)c(OC)c3Oc3cc4c(cc3OC)CCN(C)C4)CCN2C)c(NC(=O)N2CCOCC2)cc1OC,*c1cc(CC2c3c(cc(OC)c(OC)c3Oc3cc4c(cc3OC)CCN(C)C4*)CCN2C)c(NC(=O)N2CCOCC2)cc1OC
C(=O)Nc1c([O-])c2c(O)c(C)c3c(c2c2nc(N4CC[NH+](Cc5ccccc5)CC4)sc12)C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)CO)O3,*C(=O)Nc1c([O-])c2c(O)c(C)c3c(c2c2nc(N4CC[NH+](Cc5ccccc5)CC4)sc12)C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)C(*)O)O3
OCC(C)C(C=CCC(=O)NC(C)C(=O)OCCOC)OC,*OCC(C)C(C=CCC(=O)NC(C)C(=O)OCC(*)OC)OC
CCCCOc1cc2c(cc1OCCCOc1cc3c(cc1O)C(=O)N1CCCC1C=N3)N=CC1CCCN1C2=O,*CCCCOc1cc2c(cc1OCCCOc1cc3c(cc1O*)C(=O)N1CCCC1C=N3)N=CC1CCCN1C2=O
CCCNc1nc(NC23CC4CC(CC(C4)C2)C3)nc(NCCC[NH+](CCCC)CCCC)[nH+]1,*CCC(*)Nc1nc(NC23CC4CC(CC(C4)C2)C3)nc(NCCC[NH+](CCCC)CCCC)[nH+]1
NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(CSS)C(=O)N1CCCC1CCc1ccccc1)C(C)CC,*NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(CSS*)C(=O)N1CCCC1CCc1ccccc1)C(C)CC
CCOC(CN(C)C(=O)NC1CCCCC1)C(C)CN(C(=O)c1cc(NS(=O)(=O)c2ccc(F)cc2)ccc1O)C(C)CO,*CCOC(CN(C)C(=O)NC1CCCCC1)C(C)CN(C(=O)c1cc(NS(=O)(=O)c2ccc(F)cc2)ccc1O*)C(C)CO
NC(=O)C(NC(=O)C(NC(=O)C1CSC(C)C(NC(=O)C2CSCC(NC(=O)C([NH3+])CCCC[NH3+])C(=O)NC(C(=O)[O-])CCC(=O)NC(=C)C(=O)NC(=O)C(CC(C)C)N2)C(=O)N2CCCC2C(=O)NCC(=O)N1)C(C)C)C(C)SCC(NC(=O)C(=CC)NC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)CC)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC1C(=O)NC(CC(C)C)C(=O)NC2C(=O)NC(CSC1C)C(=O)NC(=O)C(CC(N)=O)NC(C(=O)NC(CCCC[NH3+])C(=O)[O-])CSC2C,*NC(=O)C(NC(=O)C(NC(=O)C1CSC(C)C(NC(=O)C2CSCC(NC(=O)C([NH3+])CCCC[NH3+])C(=O)NC(C(=O)[O-])CCC(=O)NC(=C)C(=O)NC(=O)C(CC(C)C)N2)C(=O)N2CCCC2C(=O)NCC(=O)N1)C(C)C)C(C)SCC(NC(=O)C(=CC)NC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(*)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC1C(=O)NC(CC(C)C)C(=O)NC2C(=O)NC(CSC1C)C(=O)NC(=O)C(CC(N)=O)NC(C(=O)NC(CCCC[NH3+])C(=O)[O-])CSC2C
C(CCCNC(N)=[NH2+])NC(=O)C(Cc1ccc(O)cc1)NC(=O)CS(=O)CC(NC(=O)CCC(=O)[O-])C(N)=O,*C(CCCNC(N)=[NH2+])NC(=O)C(Cc1ccc(O)cc1)NC(=O)CS(=O)CC(NC(=O)C(*)CC(=O)[O-])C(N)=O
CCCCCCCCCCCCC(=O)OCC(COC(=O)C=Cc1ccc(O)c(OC)c1)OCCCCCCCCC,*CCCCCCCCCCCCC(=O)OCC(COC(=O)C=Cc1ccc(O)c(OC)c1)OCCCCCCCCC*
C(=O)OC(C)C(C)C(O)C(C)C=CC=CC=CC=CC=CC=CC=CC(CC1OC(O)(CC(O)CCO)C(F)C(O)C1C(=O)[O-])OC1OC(C)C(O)C([NH3+])C1O,*C(=O)OC(C)C(C)C(O)C(C)C=CC=CC=CC=CC=CC=CC=CC(CC1OC(O)(CC(O)CC(*)O)C(F)C(O)C1C(=O)[O-])OC1OC(C)C(O)C([NH3+])C1O
CC(=O)CC(O)CC=CC=CC(CC=CC=CC(=O)OC(C)C)OC1OC(CO)C(O)C(O)C1O,*CC(=O)CC(O)CC=CC=CC(CC=CC=CC(=O)OC(C)C*)OC1OC(CO)C(O)C(O)C1O
C(O)CCC(O)C(O)CC1(O)CC(O)C(C(=O)NC)C(CC(C=CC=CC=CC=CC=CC=CC=CC(C)C(O)CC)OC2OC(C)C(O)C([NH3+])C2O)O1,*C(O)CCC(O)C(O)CC1(O)CC(O)C(C(=O)NC)C(CC(C=CC=CC=CC=CC=CC=CC=CC(C)C(O)C(*)C)OC2OC(C)C(O)C([NH3+])C2O)O1
CC(NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(C)(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(CCC(=O)[O-])NC(=O)C(C)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(C)NC(=O)C(CCCC)NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(=O)[O-])NC(C)=O)C(C)O)C(C)C)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NC(C)C(=O)NC(CC(N)=O)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCC[NH3+])C(=O)NC(CC(C)C)C(=O)NC(CCCC)C(=O)NC(CCC(=O)[O-])C(=O)NC(C)(CC(C)C)C(=O)NC(C(N)=O)C(C)CC,*CC(NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(C)(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(CCC(=O)[O-])NC(=O)C(C)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(C)NC(=O)C(CCCC)NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(=O)[O-])NC(C)=O)C(C)O)C(C)C)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NC(C*)C(=O)NC(CC(N)=O)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCC[NH3+])C(=O)NC(CC(C)C)C(=O)NC(CCCC)C(=O)NC(CCC(=O)[O-])C(=O)NC(C)(CC(C)C)C(=O)NC(C(N)=O)C(C)CC
NCCCc1nnc(CCC(NC(=O)OC(C)(C)C)C(=O)NC(CC2CCCCC2)C=O)o1,*NCCCc1nnc(CCC(NC(=O)OC(C)(C)C)C(=O)NC(CC2CCCCC2)C(*)=O)o1
C(C=CC(C)=CC(C)=CC(C)C(O)C=C(C)CC=C(C)C(=O)OC(c1csc(C(CC(C)C)OC(=O)NC)n1)CC)OC1OC(CO)C(O)C(O)C1O,*C(C=CC(C)=CC(C)=CC(C)C(O)C=C(C)CC=C(C)C(=O)OC(c1csc(C(CC(C)C)OC(=O)NC)n1)C(*)C)OC1OC(CO)C(O)C(O)C1O
CC=CC1CC1(NC(=O)C(CCOc1cc(-c2ccccc2)nc2cc(OC)ccc12)NC(=O)NC)C(=O)[N-]S(=O)(=O)C1CC1,*CC=CC1CC1(NC(=O)C(CCOc1cc(-c2ccccc2)nc2cc(OC)ccc12)NC(=O)N(*)C)C(=O)[N-]S(=O)(=O)C1CC1
C(O)C=CC=CC(C)C(OC(=O)C(C)C(O)C=CC(C)C(O)CC(O)C(C)C(O)CCC(C)C(O)CC1(O)OC(CC(O)CCOC(=O)CC(=O)[O-])CC(OC(=O)CC(=O)[O-])C1O)C(C)CC(C)CCCC=CCCCNC(=[NH2+])NC,*C(O)C=CC=CC(C)C(OC(=O)C(C)C(O)C=CC(C)C(O)CC(O)C(C)C(O)CCC(C)C(O)CC1(O)OC(CC(O)CC(*)OC(=O)CC(=O)[O-])CC(OC(=O)CC(=O)[O-])C1O)C(C)CC(C)CCCC=CCCCNC(=[NH2+])NC
CCCC(=O)CCC(=O)OCC1OC(OC2C(OCCCC)OC(C)C(OC(C)=O)C2O)C(O)C(OC(=O)C(C)=CC)C1OC(=O)C=Cc1ccccc1,*CCCC(=O)CCC(=O)OCC1OC(OC2C(OC(*)CCC)OC(C)C(OC(C)=O)C2O)C(O)C(OC(=O)C(C)=CC)C1OC(=O)C=Cc1ccccc1
CNC(=O)c1cc(NC(=O)CCCNC(=O)C2CN3c4c(cc(F)c(N5CC[NH+](C)CC5)c4OCC3C)C2=O)ccc1OCC(Cc1ccc(O)cc1)NC(=O)CCC[NH3+],*CNC(=O)c1cc(NC(=O)CCCNC(=O)C2CN3c4c(cc(F)c(N5CC[NH+](C)CC5)c4OCC3C)C2=O)ccc1OCC(Cc1ccc(O)cc1)NC(=O)C(*)CC[NH3+]
CC(=O)C(C)=CCC(O)C=CC(C)C(O)C(C)C=C(C)C(=O)c1c([O-])c(C)cc2c1C(=O)C(N)=C(N)C2=O,*CC(=O)C(C)=CCC(O)C=CC(C)C(O)C(C)C=C(C)C(=O)c1c([O-])c(C)cc2c1C(=O)C(N)=C(N*)C2=O
CCCCCC(CCC)[NH2+]CCN(CC[NH2+]C1CCCCCCCCCCC1)CC[NH2+]C1CCC2(CC1)OCCO2,*CCCCCC(CCC*)[NH2+]CCN(CC[NH2+]C1CCCCCCCCCCC1)CC[NH2+]C1CCC2(CC1)OCCO2
CCCCCCCOC(=O)NCC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,*CCCCCCCOC(=O)N(*)CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12
NC(=O)CC(NC(=O)CCCC)C(=O)NC(Cc1ccc(-c2ccccc2)cc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCC[NH+]=C(N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C=O,*NC(=O)CC(NC(=O)CCCC)C(=O)NC(Cc1ccc(-c2ccccc2)cc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCC[NH+]=C(N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(*)=O
C(=O)C(C(C)CC)N(C)C(=O)C(C(C)CC)N(C)C(=O)C(CC(=O)NCC=C)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)C(=O)C1CCCCN1C(=O)C(C)OC(=O)C(Cc1ccc(OC)cc1)NC(=O)CC(C)C)C(C)C,*C(=O)C(C(C)CC)N(C)C(=O)C(C(C)CC)N(C)C(=O)C(CC(=O)NCC=C)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)C(=O)C1CCCCN1C(=O)C(C)OC(=O)C(Cc1ccc(OC)cc1)NC(=O)C(*)C(C)C)C(C)C
